cs2::100thieves_vs_ence|300610060000000000291127440000000000001713053359|Ence|2.47|2026-02-25T14:51:54.139494100+00:00
cs2::bestia_vs_mana|300610060000000000291127470000000000001713053408|Mana|2.55|2026-02-25T14:53:53.900410800+00:00
cs2::basementboys_vs_csdiilit|300610060000000000291048520000000000001708293394|Csdiilit|2.4|2026-02-25T15:06:14.167186400+00:00
cs2::nemesis_vs_ww::map3_winner|300610060000000000291091860000000000001712324425|Ww|1.91|2026-02-25T17:33:36.859325900+00:00
cs2::rebels_vs_ursa::map3_winner|300610060000000000291113360000000000001714525990|Ursa|1.96|2026-02-25T18:30:28.172958500+00:00
football::argentinau20w_vs_paraguayu20w|300610060000000000815076550000000000001712381133|Argentina U20 W|1.8|2026-02-26T00:34:16.861307400+00:00
football::madura_vs_persibbandung|300610060000000000812701340000000000001702111894|Madura United|1.4|2026-02-26T00:34:17.207990900+00:00
football::alsalt_vs_alwehdat|300610060000000000795800380000000000001707312775|Al Salt|2.47|2026-02-26T00:34:17.594063900+00:00
basketball::sanantoniospu_vs_torontorapto|300610060000000000291119680000000000001712594619|San Antonio Spurs|1.84|2026-02-26T00:57:26.387906700+00:00
football::colombiau20w_vs_venezuelau20w|300610060000000000815076530000000000001713397677|Colombia U20 W|1.68|2026-02-26T01:11:53.767967600+00:00
football::fluminense_vs_palmeiras|300610060000000000805132990000000000001627922337|Fluminense|1.88|2026-02-26T01:21:03.525009500+00:00
basketball::clevelandcavalie_vs_milwaukeebucks|300610060000000000291120180000000000001712705587|Milwaukee Bucks|1.84|2026-02-26T02:17:39.913035400+00:00
basketball::houstonrockets_vs_sacramentokings|300610060000000000291119620000000000001712594259|Houston Rockets|1.84|2026-02-26T02:17:40.398527700+00:00
cs2::galorys_vs_sharks|300610060000000000291119830000000000001712597326|Sharks Esports|1.25|2026-02-26T02:38:14.616828100+00:00
cs2::galorys_vs_sharks|300610060000000000291119830000000000001712597326|Sharks Esports|1.25|2026-02-26T02:38:15.197375100+00:00
basketball::bostonceltics_vs_denvernuggets|300610060000000000291115590000000000001712895000|Denver Nuggets|2.35|2026-02-26T03:05:24.306894200+00:00
cs2::lazercats_vs_phantom::map2_winner|300610060000000000291190290000000000001716211614|Lazer Cats|2.33|2026-02-26T09:24:04.381114500+00:00
cs2::9ine_vs_tricked|300610060000000000290850950000000000001705575833|9INE|1.66|2026-02-26T09:50:34.293145900+00:00
cs2::cybershoke_vs_ence|300610060000000000291184900000000000001715444306|Ence|1.98|2026-02-26T11:52:53.736921800+00:00
cs2::k27_vs_mouznxt|300610060000000000291188010000000000001716193904|K27|1.71|2026-02-26T12:17:04.027326100+00:00
cs2::lazercats_vs_sparta::map2_winner|300610060000000000291216810000000000001717505336|Lazer Cats|2.69|2026-02-26T12:34:54.069777700+00:00
